,,,
Риски,ФАКТОРЫ,МЕРА,"ДУАЛЬНЫЕ (ЕСЛИ РИСК-ФАКТОР ЕСТЬ, ТО ЗНАЧИТ, ЧТО МЕРЫ ИЗ ЯЧЕЙКИ НЕТ И НАОБОРОТ)"
MULTI,UFR-064,UMF-044,UMF-044
MULTI,UFR-068,UMF-027,
MULTI,UFR-068,UMF-028,
MULTI,UFR-017,UMF-010,
MULTI,UFR-017,,
MULTI,UFR-016,UMF-010,UMF-010
MULTI,UFR-063,UMF-045,UMF-045
MULTI,UFR-063,UMF-059,UMF-045
MULTI,UFR-063,UMF-060,UMF-045
MULTI,UFR-063,UMF-055,UMF-045
MULTI,UFR-065,UMF-047,UMF-047
MULTI,UFR-065,UMF-069,UMF-047
MULTI,UFR-064,UMF-041,UMF-044
MULTI,UFR-064,UMF-061,UMF-044
MULTI,UFR-066,UMF-047,UMF-047
MULTI,UFR-066,UMF-048,UMF-047
MULTI,UFR-066,UMF-027,UMF-047
MULTI,UFR-066,UMF-028,UMF-047
MULTI,UFR-066,UMF-061,UMF-047
MULTI,UFR-066,UMF-060,UMF-047
MULTI,UFR-066,UMF-069,UMF-047
MULTI,UFR-067,UMF-049,UMF-049
MULTI,UFR-019,UMF-049,
MULTI,UFR-020,UMF-047,
MULTI,UFR-067,UMF-047,UMF-049
MULTI,UFR-020,UMF-050,
MULTI,UFR-067,UMF-050,UMF-049
MULTI,UFR-065,UMF-010,UMF-047
MULTI,UFR-050,UMF-020,UMF-100
MULTI,UFR-050,UMF-100,UMF-100
MULTI,UFR-050,UMF-069,UMF-100
MULTI,UFR-069,UMF-041,UMF-041
MULTI,UFR-082,UMF-041,UMF-041
MULTI,UFR-082,UMF-056,UMF-041
MULTI,UFR-088,UMF-055,UMF-055
MULTI,UFR-069,UMF-016,UMF-041
GH_RCE,UFR-006,UMF-063,
GH_RCE,UFR-006,UMF-018,
GH_RCE,UFR-006,UMF-006,
GH_RCE,UFR-013,UMF-069,UMF-007
GH_RCE,UFR-013,UMF-007,UMF-007
GH_RCE,UFR-012,UMF-063,UMF-103
GH_RCE,UFR-012,UMF-018,UMF-103
GH_RCE,UFR-012,UMF-006,UMF-103
